Origen,Repeticiones
134 - SOLDADO DE LA FRONTERA,22
123 - BASUALDO Y RODO,18
240 - ECHEVERRIA,14
258 - Plaza J.J. Paso,12
242 - Plazoleta Rafael del Riego,11
046 - Chile,10
071 - CERRITO,10
080 - DOBLAS,10
091 - Pasco,10
101 - Fitz Roy,10
189 - POSADAS,10
012 - Plaza Vicente Lopez,9
027 - Montevideo,9
064 - RIOBAMBA,9
223 - GAINZA,9
251 - Solar de la Abadía,9
058 - Ministro Carranza,8
073 - Ruy Díaz de Guzmán,8
086 - SAAVEDRA,8
188 - Aranguren,8
281 - Villa Urquiza,8
349 - Plaza Saenz Peña,8
045 - Uruguay,7
146 - Hospital Francés,7
151 - AIME PAINÉ,7
261 - QUINTEROS LIDORO,7
190 - JUNCAL,7
270 - PLAZA DEL ANGEL GRIS,7
205 - SAN MARTIN,7
206 - Galicia,7
006 - Parque Lezama,6
092 - Salcedo,6
095 - ESMERALDA,6
118 - MEXICO,6
275 - PLAZA 24 DE SEPTIEMBRE,6
197 - PLAZA CIUDAD DE UDINE,6
097 - Avelino Diaz,6
384 - PLAZA BENITO NAZAR,6
254 - Plaza Rafael Hernandez,6
374 - Puan,6
264 - Plaza Marcos Sastre,6
222 - SIMON BOLIVAR,6
249 - Balbín,6
004 - Plaza Roma,5
022 - Arenales,5
038 - Plaza Libertad,5
334 - CENTRO DE EXPOSICIONES,5
049 - 33 Orientales,5
093 - CARLOS CALVO,5
094 - GÚZMAN,5
107 - HOSPITAL GARRAHAN,5
111 - MACACHA GUEMES,5
117 - HUMBERTO 1°,5
150 - RODRIGO BUENO,5
153 - JUAN MANUEL DE BLANES,5
186 - MANZANA 66,5
193 - ARENALES Y AGUERO,5
178 - José Marmol,5
103 - MALBA,5
331 - CALIFORNIA,5
336 - La Pampa,5
229 - RIGLOS,5
285 - ESPINOSA,5
063 - Reconquista,4
112 - 9 de Julio,4
162 - LARREA Y BARTOLOMÉ MITRE,4
179 - CASA SAN,4
252 - Tamborini,4
346 - Plaza Zapiola,4
370 - Beauchef,4
221 - CULPINA,4
250 - Fleni,4
013 - ONCE,3
023 - Suipacha,3
168 - Estados Unidos,3
184 - Pedro Echague,3
365 - Venancio Flores,3
256 - PLAZA NORUEGA,3
244 - UADE,3
363 - Udaondo,3
340 - PLAZA NUEVA POMPEYA,3
002 - Retiro I,2
041 - Urquiza y Rondeau,2
051 - TUCUMAN,2
018 - Independencia,2
079 - AZUCENA VILLAFLOR,2
084 - Lavalle,2
037- CLAUDIA PÍA BRAUDACCO,2
126 - Ministerio de Justicia y Seguridad,2
132 - CORRIENTES,2
149 - LIMA,2
172 - BRASIL,2
373 - Jorgelina De Simone,2
191 - Rivadavia y 9 de Julio,2
196 - HOSPITAL ARGERICH,2
361 - Plaza Don Segundo Sombra,2
207 - PLAZA ARENALES,2
218 - Campana,2
003 - ADUANA,1
007 - OBELISCO,1
021 - Parque Patricios,1
024 - ALSINA,1
032 - Catedral,1
035 - INGENIERO BUTTY,1
034 - Colonia Express,1
087 - Guayaquil,1
120 - HOSPITAL RAMOS MEJIA,1
155 - Parque José Evaristo Uriburu,1
248 - Husares,1
282 - Tronador,1
280 - JURAMENTO,1
237 - Madero Office,1
